"species","genus","reg"
"Patellapis communis","Patellapis",28
"Macropis labiata","Macropis",27
"Hylaeus pfankuchi","Hylaeus",27
"Hylaeus rinki","Hylaeus",27
"Nomada hirtipes","Nomada",27
"Anthophora plagiata","Anthophora",27
"Andrena hypopolia","Andrena",27
"Andrena lagopus","Andrena",26
"Lasioglossum sabulosum","Lasioglossum",26
"Nomada femoralis","Nomada",26
"Systropha curvicornis","Systropha",26
"Megachile lapponica","Megachile",25
"Andrena limata","Andrena",25
"Camptopoeum frontale","Camptopoeum",25
"Hylaeus gracilicornis","Hylaeus",25
"Lasioglossum minutum","Lasioglossum",25
"Lasioglossum albocinctum","Lasioglossum",24
"Stelis minuta","Stelis",24
"Lasioglossum puncticolle","Lasioglossum",24
"Nomada moeschleri","Nomada",24
"Sphecodes rubicundus","Sphecodes",23
"Nomada baccata","Nomada",23
"Andrena bucephala","Andrena",23
"Sphecodes majalis","Sphecodes",23
"Colletes nasutus","Colletes",23
"Andrena similis","Andrena",22
"Nomada kohli","Nomada",22
"Megachile parietina","Megachile",22
"Lithurgus chrysurus","Lithurgus",22
NULL,"Crustacea",22
"Nomada castellana","Nomada",21
"Andrena gelriae","Andrena",21
"Hylaeus lineolatus","Hylaeus",21
"Halictus pollinosus","Halictus",21
"Andrena chrysopyga","Andrena",21
"Osmia andrenoides","Osmia",20
"Andrena niveata","Andrena",20
"Hoplitis mitis","Hoplitis",20
"Colletes hylaeiformis","Colletes",20
"Andrena distinguenda","Andrena",20
"Osmia uncinata","Osmia",20
"Nomada atroscutellaris","Nomada",20
"Rhophitoides canus","Rhophitoides",20
"Bombus mucidus","Bombus",19
"Andrena florivaga","Andrena",19
"Nomada obscura","Nomada",19
"Nomada rhenana","Nomada",19
"Nomada posthuma","Nomada",19
"Osmia mustelina","Osmia",19
NULL,"Stelis",18
"Andrena nuptialis","Andrena",18
NULL,"Melitta",18
NULL,"Epeolus",18
"Andrena nigriceps","Andrena",18
"Andrena enslinella","Andrena",18
"Osmia xanthomelana","Osmia",18
"Hylaeus kahri","Hylaeus",18
NULL,"Hoplitis",17
"Apis armbrusteri","Apis",17
"Lasioglossum prasinum","Lasioglossum",17
"Sphecodes scabricollis","Sphecodes",17
"Nomada obtusifrons","Nomada",17
"Nomada emarginata","Nomada",17
"Nomada guttulata","Nomada",17
"Dufourea inermis","Dufourea",17
"Hylaeus moricei","Hylaeus",17
"Lasioglossum quadrinotatum","Lasioglossum",16
"Hylaeus duckei","Hylaeus",16
"Andrena tarsata","Andrena",16
"Andrena taraxaci","Andrena",16
"Biastes truncatus","Biastes",15
"Andrena synadelpha","Andrena",15
"Andrena thoracica","Andrena",15
"Hylaeus incongruus","Hylaeus",15
"Sphecodes pseudofasciatus","Sphecodes",15
"Coelioxys alata","Coelioxys",15
"Hylaeus annulatus","Hylaeus",15
"Andrena chrysopus","Andrena",14
"Andrena anthrisci","Andrena",14
"Bombus monticola","Bombus",14
"Megachile sculpturalis","Megachile",14
"Lasioglossum convexiusculum","Lasioglossum",14
"Megachile dorsalis","Megachile",14
"Andrena ferox","Andrena",14
"Stelis minima","Stelis",14
"Nomada errans","Nomada",13
"Sphecodes croaticus","Sphecodes",13
"Rophites canus","Rophites",13
"Eucera interrupta","Eucera",13
"Hoplitis villosa","Hoplitis",13
"Osmia pilicornis","Osmia",13
"Nomada pleurosticta","Nomada",13
"Nomada similis","Nomada",12
"Lasioglossum aeratum","Lasioglossum",12
"Osmia submicans","Osmia",12
"Xylocopa valga","Xylocopa",12
"Hylaeus gigas","Hylaeus",12
"Nomada mutica","Nomada",12
"Dufourea halictula","Dufourea",12
"Nomada argentata","Nomada",12
"Sphecodes schenckii","Sphecodes",11
"Andrena symphyti","Andrena",11
"Dufourea minuta","Dufourea",11
"Andrena rugulosa","Andrena",11
"Nomada melathoracica","Nomada",11
"Halictus submediterraneus","Halictus",11
"Sphecodes zangherii","Sphecodes",11
"Lasioglossum brevicorne","Lasioglossum",11
"Bombus mendax","Bombus",11
"Lasioglossum bluethgeni","Lasioglossum",10
"Megachile pilicrus","Megachile",10
"Tetraloniella scabiosae","Tetraloniella",10
"Hoplitis lepeletieri","Hoplitis",10
"Lasioglossum clypeare","Lasioglossum",10
"Nomada opaca","Nomada",10
"Nomada piccioliana","Nomada",10
"Bombus pyrenaeus","Bombus",9
"Hoplitis acuticornis","Hoplitis",9
"Stelis odontopyga","Stelis",9
"Bombus gerstaeckeri","Bombus",9
"Andrena confinis","Andrena",9
"Lasioglossum setulosum","Lasioglossum",9
"Andrena alutacea","Andrena",9
"Osmia papaveris","Osmia",9
"Lasioglossum bavaricum","Lasioglossum",9
"Lasioglossum subfulvicorne","Lasioglossum",9
"Hoplitis loti","Hoplitis",9
"Lasioglossum marginellum","Lasioglossum",8
"Halictus smaragdulus","Halictus",8
"Hoplitis annulata","Hoplitis",8
"Melitturga clavicornis","Melitturga",8
"Dioxys tridentata","Dioxys",8
"Osmia lignaria","Osmia",8
"Osmia villosa","Osmia",8
"Osmia nigriventris","Osmia",8
"Amegilla quadrifasciata","Amegilla",8
"Andrena trimmerana","Andrena",8
"Andrena ampla","Andrena",8
"Nomada facilis","Nomada",8
"Lasioglossum griseolum","Lasioglossum",7
"Osmia cantabrica","Osmia",7
"Anthidium florentinum","Anthidium",7
"Andrena pallitarsis","Andrena",7
"Panurginus herzi","Panurginus",7
"Andrena nanula","Andrena",7
"Lasioglossum pleurospeculum","Lasioglossum",6
"Megachile genalis","Megachile",6
"Bombus argillaceus","Bombus",6
"Andrena curtula","Andrena",6
"Megachile apicalis","Megachile",6
"Sphecodes cristatus","Sphecodes",6
NULL,"Seladonia",6
"Colletes albomaculatus","Colletes",5
"Osmia cerinthidis","Osmia",5
"Anthophora crinipes","Anthophora",5
"Xylocopa iris","Xylocopa",5
"Bombus mesomelas","Bombus",5
"Hylaeus nivalis","Hylaeus",5
"Bombus ternarius","Bombus",5
"Dasypoda aurata","Dasypoda",5
"Sphecodes ruficrus","Sphecodes",5
"Panurginus montanus","Panurginus",5
"Andrena rufizona","Andrena",5
"Bombus opulentus","Bombus",5
"Aglaoapis tridentata","Aglaoapis",5
"Ceratina callosa","Ceratina",5
"Lasioglossum sexmaculatum","Lasioglossum",5
"Osmia ferruginea","Osmia",5
"Osmia inermis","Osmia",5
"Nomada braunsiana","Nomada",5
"Nomada rostrata","Nomada",4
"Colletes mlokossewiczi","Colletes",4
"Hylaeus taeniolatus","Hylaeus",4
"Megachile manicata","Megachile",4
"Andrena sericata","Andrena",4
